model_name,total_games,wins,avg_turns,win_rate
Agentv1.0,2,0,4.5,0.0
Track1_Model_20250925_1523,1,0,5.0,0.0
Chinese Mafia Agent v1.10,1,0,5.0,0.0
MindGames_Champion_Gemini_Pro_Reusable,3,0,2.6666666666666665,0.0
RobustMafiaAgent-V3,5,0,5.0,0.0
Ghost of Perdition,2,0,4.5,0.0
Rak.io - Track1 - v1 - LLAMA,1,0,2.0,0.0
RLGame-gpt-oss-20b,1,0,8.0,0.0
Lossfunk v0.03,1,0,4.0,0.0
Lossfunk v0.2,1,0,5.0,0.0
RLGame-M-P-05,1,0,2.0,0.0
Qwen3_SMAFIA_LoRA,3,0,5.0,0.0
Qwen3_8b_cccx7,1,0,6.0,0.0
Qwen3_8b_cccx4,1,0,8.0,0.0
Qwen3_8b_cccx2,3,0,4.0,0.0
MindGames_Pro_Mafia_v2,1,0,1.0,0.0
Gemini_2.5_Flash_with_some_modifies_2,1,0,10.0,0.0
Modal,1,0,4.0,0.0
PsychSkull-9 LLM agent - Track 1,1,0,4.0,0.0
PsychSkull-6 LLM agent - Track 1,1,0,4.0,0.0
PsychSkull-4 LLM agent - Track 1,2,0,3.0,0.0
PsychSkull-3 LLM agent - Track 1,1,0,2.0,0.0
PsychSkull-17 Track 1 Open,1,0,5.0,0.0
NatureCast_CTMagent_T1_v1,1,0,9.0,0.0
PsychSkull-12 Track 1 Open,1,0,4.0,0.0
PsychSkull test LLM agent - Track 1,3,0,3.6666666666666665,0.0
PsychSkull Test LLM agent - Track 1,1,0,5.0,0.0
Parwal,1,0,2.0,0.0
Shocklab_Agent_v1,2,0,1.5,0.0
Gemini_2.5_Flash_PxP,1,0,4.0,0.0
Chinese Mafia Agent v1.13,1,0,5.0,0.0
Track1_Model_20250925_1912,1,0,5.0,0.0
Chinese Mafia Agent v1.5,1,0,5.0,0.0
Chinese Mafia Agent v1.7,1,0,6.0,0.0
Chinese Mafia Agent v1.8,1,0,10.0,0.0
ac2c54b1-465b-4d6c-bdc7-aae5b383d862 Mafia,1,0,2.0,0.0
Chinese Mafia Agent v1.9,1,0,4.0,0.0
DeceptionNet_IL_v1,1,0,2.0,0.0
ZeroR-Elite-Enhanced-v2,1,0,4.0,0.0
Dr.Strange,1,0,5.0,0.0
V1-GPT4o - Track 1,1,0,5.0,0.0
USTCmafia-test3,1,0,1.0,0.0
External-azurev2,1,0,6.0,0.0
Optimised Lucy-v2,1,0,2.0,0.0
GPT5_Strategic_v3_ReasonSpeak,1,0,5.0,0.0
Track1_Model_20250925_1400,1,0,4.0,0.0
Track1_Model_20250925_1245,1,0,5.0,0.0
The-Boot,1,0,6.0,0.0
Tester v0.01,1,0,5.0,0.0
Fractal_SecretMafia_Agent_v2,2,0,2.0,0.0
Fractal_SecretMafia_Agent_v4,1,0,2.0,0.0
T1-Qwen-Mini-V2,1,0,1.0,0.0
GPT5_Agent_v1,2,0,5.0,0.0
T1-Qwen-Mini-Complex-V3,1,0,15.0,0.0
T1-Qwen-Mini-Complex-V2,1,0,5.0,0.0
T1-Baseline-Qwen-Better-Akash-V3,1,0,5.0,0.0
RLAgent-01,1,0,7.0,0.0
